date,label,open,high,low,close,volume
12/14/2019 0:00,ETH/USD,145.38,145.76,141.5,142.56,2824752.73
12/13/2019 0:00,ETH/USD,145.5,145.81,143.78,145.38,2422751.75
12/12/2019 0:00,ETH/USD,143.91,147.17,140,145.51,6817604.46
12/11/2019 0:00,ETH/USD,146.36,146.94,142.65,143.91,2728700.78
12/10/2019 0:00,ETH/USD,148.08,148.98,144.44,146.36,4041400.14
12/9/2019 0:00,ETH/USD,151.41,152.04,147.25,148.08,4456370.97
12/8/2019 0:00,ETH/USD,148.15,152.62,146.43,151.41,4157971.73
12/7/2019 0:00,ETH/USD,149.69,150.56,147.69,148.15,1623824.49
12/6/2019 0:00,ETH/USD,149.05,151,146.55,149.69,2622836.48
12/5/2019 0:00,ETH/USD,146.31,150.19,144.57,148.73,3515597.92
12/4/2019 0:00,ETH/USD,148.17,155.21,144.15,146.31,10929557.57
12/3/2019 0:00,ETH/USD,149.77,150.96,146.01,148.17,3491467.48
12/2/2019 0:00,ETH/USD,151.84,152.73,147.66,149.77,3711766.73
12/1/2019 0:00,ETH/USD,152.53,153.55,146.74,151.84,5025084.82
11/30/2019 0:00,ETH/USD,155.53,156.63,150.03,152.53,4034966.19
11/29/2019 0:00,ETH/USD,151.4,158.85,151.05,155.53,5748206.52
11/28/2019 0:00,ETH/USD,153.27,155.45,150.11,151.52,4789664.04
11/27/2019 0:00,ETH/USD,148.35,156.56,142,153.27,10050448.13
11/26/2019 0:00,ETH/USD,146.58,150.86,144.57,148.35,4802540.11
11/25/2019 0:00,ETH/USD,141.18,152.71,133.58,146.58,20498393.38
11/24/2019 0:00,ETH/USD,152.77,153.66,140,141.18,9451556.09
11/23/2019 0:00,ETH/USD,150.55,155,147.26,152.77,8924642.32
11/22/2019 0:00,ETH/USD,162.03,163.4,138.33,150.55,19824749.25
11/21/2019 0:00,ETH/USD,175.27,176.38,156.73,162.05,12726363.92
11/20/2019 0:00,ETH/USD,176.46,178.18,173.93,175.27,3590567.84
11/19/2019 0:00,ETH/USD,178.61,178.96,173.17,176.46,4332394.58
11/18/2019 0:00,ETH/USD,184.53,185.04,175.5,178.61,7354845.86
11/17/2019 0:00,ETH/USD,182.97,186.92,181,184.53,3693113.09
11/16/2019 0:00,ETH/USD,180.23,183.98,179.5,182.97,2976850.37
11/15/2019 0:00,ETH/USD,185.06,188.11,177.09,180.23,12812745.36
11/14/2019 0:00,ETH/USD,188.69,189.22,183.31,185.12,3692875.72
11/13/2019 0:00,ETH/USD,187.16,190,185.5,188.69,4457074.48
11/12/2019 0:00,ETH/USD,185.1,187.71,182.28,187.16,4904455.62
11/11/2019 0:00,ETH/USD,189.68,190.89,184.2,185.1,5532512.49
11/10/2019 0:00,ETH/USD,185,192.24,183.5,189.68,11042172.78
11/9/2019 0:00,ETH/USD,184,185.62,182.8,185,3209991.94
11/8/2019 0:00,ETH/USD,186.67,188.3,180.5,184,8423935.23
11/7/2019 0:00,ETH/USD,191.51,192.72,184.51,186.65,5304721.6
11/6/2019 0:00,ETH/USD,189.44,195.21,188.35,191.51,7257612.6
11/5/2019 0:00,ETH/USD,187,192.8,182.25,189.44,9046401.9
11/4/2019 0:00,ETH/USD,182.19,190.1,180.92,187,8870984.27
11/3/2019 0:00,ETH/USD,183.92,185.45,179.31,182.19,3826228.44
11/2/2019 0:00,ETH/USD,183.98,186.87,182.42,183.92,4550281.64
11/1/2019 0:00,ETH/USD,183.02,185.48,177.23,183.98,4584370.97
10/31/2019 0:00,ETH/USD,183.82,185.7,178.26,183.04,5495120.03
10/30/2019 0:00,ETH/USD,191.29,192.5,179.79,183.82,10955902.52
